stid,stname,prid,kansoku,地点名,カナ,北緯,東経,標高,rain,wind,temp,sun,snow,etc,地域名,南緯,緯度
a0074,北見,17,111211,北見,キタミ,43度46.6分,143度50.5分,104m,True,True,True,True,True,True,網走・北見・紋別,,43度46.6分
a0075,小清水,17,111200,小清水,コシミズ,43度50.5分,144度29.1分,52m,True,True,True,True,False,False,網走・北見・紋別,,43度50.5分
a0076,斜里,17,111210,斜里,シャリ,43度53.1分,144度42.0分,15m,True,True,True,True,True,False,網走・北見・紋別,,43度53.1分
a0077,留辺蘂,17,111210,留辺蘂,ルベシベ,43度44.5分,143度27.0分,325m,True,True,True,True,True,False,網走・北見・紋別,,43度44.5分
a0078,留辺蘂山,17,100000,留辺蘂山,ルベシベヤマ,43度45.5分,143度36.2分,470m,True,False,False,False,False,False,網走・北見・紋別,,43度45.5分
a0079,美幌,17,111200,美幌,ビホロ,43度46.2分,144度10.3分,60m,True,True,True,True,False,False,網走・北見・紋別,,43度46.2分
a0080,藻琴山,17,100000,藻琴山,モコトヤマ,43度43.6分,144度17.8分,518m,True,False,False,False,False,False,網走・北見・紋別,,43度43.6分
a0081,チミケップ山,17,100000,チミケップ山,チミケップヤマ,43度38.7分,143度53.4分,600m,True,False,False,False,False,False,網走・北見・紋別,,43度38.7分
a0082,津別,17,111210,津別,ツベツ,43度42.1分,144度02.0分,100m,True,True,True,True,True,False,網走・北見・紋別,,43度42.1分
a0083,北見中山,17,100000,北見中山,キタミナカヤマ,43度35.9分,143度27.6分,905m,True,False,False,False,False,False,網走・北見・紋別,,43度35.9分
a0981,宇登呂,17,111210,宇登呂,ウトロ,44度03.1分,144度58.9分,144m,True,True,True,True,True,False,網走・北見・紋別,,44度03.1分
a1073,西興部,17,111210,西興部,ニシオコッペ,44度19.9分,142度56.1分,120m,True,True,True,True,True,False,網走・北見・紋別,,44度19.9分
a1092,白滝,17,111210,白滝,シラタキ,43度51.9分,143度09.2分,475m,True,True,True,True,True,False,網走・北見・紋別,,43度51.9分
